chr	start	end	name	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
chr1	1	1000000	id-1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
chr1	1000001	2000000	id-2	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
chr1	2000001	3000000	id-3	56.1206563436563	62.1498311688312	58.8417370629371	69.1098	59.3789856143856	58.3427112887113	70.2921822177822	66.8505152847153	62.6358023726274
chr1	3000001	4000000	id-4	45.2903300699301	49.605737962038	56.4579642357642	66.195723976024	40.7371768231768	56.69834995005	65.4912470529471	59.0556248751249	54.9415193681319
chr1	4000001	5000000	id-5	25.1891307692308	32.0843398601399	23.9161819180819	43.6195776223776	18.9289455544456	45.9556716283716	39.3662053946054	50.3459491508492	34.9257502372627
chr1	5000001	6000000	id-6	26.5503989010989	34.6512263736264	26.2411308691309	41.3874038961039	24.6259753246753	43.1971302697303	39.6012562437562	55.8939505494506	36.5185590534466
chr1	6000001	7000000	id-7	69.2419085914086	74.0855365634366	73.0478589410589	78.1536097902098	72.8962426573427	72.0742722277722	76.1528013986014	70.8676918081918	73.3149902472528
chr1	7000001	8000000	id-8	56.6741183816184	52.9298378621379	62.7276533466533	63.3035987012987	67.5347453546454	53.8548873126873	67.0423871128871	67.2245588411588	61.4114733641359
chr1	8000001	9000000	id-9	74.5674278721279	73.4425346653347	73.6853487512488	81.1330762237762	82.2617568431568	67.795157042957	71.4975673326673	65.5560104895105	73.7423599025974
chr1	9000001	10000000	id-10	73.1605548451548	78.404704995005	72.1753919080919	81.1926639360639	81.7814764235764	68.7856704295704	75.9636759240759	68.8371515484515	75.0376612512487
chr1	10000001	11000000	id-11	69.3535579420579	76.5385305694306	71.2014301698302	79.0391871128871	74.7159848151848	72.2805877122877	74.7241708291708	68.207558041958	73.2576258991009
chr1	11000001	12000000	id-12	64.0700982017982	74.3728663336663	69.9498573426573	75.6492979020979	66.5950757242757	74.8720124875125	72.1293865134865	69.7027889110889	70.9176729270729
chr1	12000001	13000000	id-13	64.8364124875125	70.9650412587413	65.0406507492507	76.1268084915085	71.9630627372627	78.4124682317682	67.8905197802198	62.4036500499501	69.7048267232767
chr1	13000001	14000000	id-14	21.7003272427572	44.5669538461538	19.9140963036963	35.4309518581419	22.4352944755245	31.2711684505494	40.0201725274725	32.202558041958	30.9426903432817
